Family,Name ,Shape,N,r,L.min,L.max,a,b,%error,Name,,name with extra space,,name without extra space
Acanthuridae,,heterogeneous,1141,1.00,2.00,60.00,0.03,2.95,13.30,,, ,,
Acanthuridae,Acanthurus spp.,compressed,639,1.00,2.50,57.00,0.03,2.98,10.20,Acanthurus,spp.,Acanthurus spp.,,Acanthurus spp.
Acanthuridae,Acanthurus blochii,compressed,249,1.00,2.50,38.00,0.03,3.03,9.80,Acanthurus,blochii,Acanthurus blochii,,Acanthurus blochii
Acanthuridae,Acanthurus dussumieri,compressed,95,0.99,2.50,51.50,0.04,2.87,10.70,Acanthurus,dussumieri,Acanthurus dussumieri,,Acanthurus dussumieri
Acanthuridae,Acanthurus nigricauda,compressed,51,1.00,4.60,22.50,0.02,3.17,8.80,Acanthurus,nigricauda,Acanthurus nigricauda,,Acanthurus nigricauda
Acanthuridae,Acanthurus mata,compressed,48,0.99,10.00,29.50,0.02,3.01,6.90,Acanthurus,mata,Acanthurus mata,,Acanthurus mata
Acanthuridae,Acanthurus nigrofuscus,compressed,124,0.99,4.50,18.70,0.03,3.03,8.70,Acanthurus,nigrofuscus,Acanthurus nigrofuscus,,Acanthurus nigrofuscus
Acanthuridae,Acanthurus triostegus,compressed,22,0.97,6.50,16.50,0.08,2.57,9.10,Acanthurus,triostegus,Acanthurus triostegus,,Acanthurus triostegus
Acanthuridae,Acanthurus xanthopterus,compressed,35,1.00,8.00,57.00,0.03,2.98,5.90,Acanthurus,xanthopterus,Acanthurus xanthopterus,,Acanthurus xanthopterus
Acanthuridae,Ctenochaetus spp.,compressed,198,0.99,3.80,21.00,0.02,3.06,6.50,Ctenochaetus,spp.,Ctenochaetus spp.,,Ctenochaetus spp.
Acanthuridae,Ctenochaetus binotatus,compressed,18,0.97,8.50,15.30,0.04,2.88,9.30,Ctenochaetus,binotatus,Ctenochaetus binotatus,,Ctenochaetus binotatus
Acanthuridae,Ctenochaetus striatus,compressed,180,1.00,3.80,21.00,0.02,3.06,7.70,Ctenochaetus,striatus,Ctenochaetus striatus,,Ctenochaetus striatus
Acanthuridae,Naso spp.,heterogeneous,123,1.00,2.00,60.00,0.01,3.25,15.10,Naso,spp.,Naso spp.,,Naso spp.
Acanthuridae,Naso annulatus,compressed,9,0.99,28.00,42.00,0.05,2.72,3.60,Naso,annulatus,Naso annulatus,,Naso annulatus
Acanthuridae,Naso brevirostris,cylindrical,27,0.99,2.00,33.00,0.01,3.24,32.30,Naso,brevirostris,Naso brevirostris,,Naso brevirostris
Acanthuridae,Naso hexacanthus,compressed,9,1.00,18.50,46.00,0.02,2.96,6.60,Naso,hexacanthus,Naso hexacanthus,,Naso hexacanthus
Acanthuridae,Naso unicornis,compressed,66,0.99,18.50,60.00,0.02,3.04,6.80,Naso,unicornis,Naso unicornis,,Naso unicornis
Acanthuridae,Zebrasoma spp.,very-flat,181,0.99,4.00,26.50,0.04,2.86,14.40,Zebrasoma,spp.,Zebrasoma spp.,,Zebrasoma spp.
Acanthuridae,Zebrasoma scopas,very-flat,104,0.99,4.00,16.00,0.03,2.99,9.10,Zebrasoma,scopas,Zebrasoma scopas,,Zebrasoma scopas
Acanthuridae,Zebrasoma veliferum,very-flat,77,1.00,4.00,24.00,0.03,2.87,8.00,Zebrasoma,veliferum,Zebrasoma veliferum,,Zebrasoma veliferum
Albulidae,Albula spp.,cylindrical,31,1.00,35.50,78.00,0.02,2.87,7.70,Albula,spp.,Albula spp.,,Albula spp.
Antennariidae,Antennarius spp.,odd,17,0.98,4.00,11.00,0.02,3.29,9.50,Antennarius,spp.,Antennarius spp.,,Antennarius spp.
Apogonidae,,heterogeneous,1873,0.97,2.00,18.50,0.01,3.14,17.20,,, ,,
Apogonidae,Apogon spp.,cylindrical,1381,0.98,2.00,16.00,0.02,3.12,17.30,Apogon,spp.,Apogon spp.,,Apogon spp.
Apogonidae,Apogon angustatus,cylindrical,59,0.94,2.60,9.00,0.00,3.78,15.60,Apogon,angustatus,Apogon angustatus,,Apogon angustatus
Apogonidae,Apogon aureus,cylindrical,116,0.98,6.20,12.00,0.01,3.51,8.40,Apogon,aureus,Apogon aureus,,Apogon aureus
Apogonidae,Apogon bandanensis,cylindrical,72,0.96,3.50,10.00,0.01,3.25,12.90,Apogon,bandanensis,Apogon bandanensis,,Apogon bandanensis
Apogonidae,Apogon catalai,compressed,9,0.96,5.00,7.00,0.01,3.94,8.80,Apogon,catalai,Apogon catalai,,Apogon catalai
Apogonidae,Apogon compressus,cylindrical,13,0.94,6.00,10.40,0.02,2.98,10.10,Apogon,compressus,Apogon compressus,,Apogon compressus
Apogonidae,Apogon cookii,cylindrical,15,0.95,4.80,7.00,0.01,3.69,11.30,Apogon,cookii,Apogon cookii,,Apogon cookii
Apogonidae,Apogon cyanosoma,cylindrical,42,0.87,4.00,6.90,0.01,3.56,16.90,Apogon,cyanosoma,Apogon cyanosoma,,Apogon cyanosoma
Apogonidae,Apogon doderleini,cylindrical,74,0.96,3.50,9.40,0.01,3.46,15.00,Apogon,doderleini,Apogon doderleini,,Apogon doderleini
Apogonidae,Apogon ellioti,cylindrical,23,0.98,5.50,13.00,0.02,2.99,9.80,Apogon,ellioti,Apogon ellioti,,Apogon ellioti
Apogonidae,Apogon exostigma,cylindrical,62,0.97,4.00,10.30,0.02,3.07,14.00,Apogon,exostigma,Apogon exostigma,,Apogon exostigma
Apogonidae,Apogon fraenatus,cylindrical,218,0.98,3.50,11.00,0.01,3.17,9.20,Apogon,fraenatus,Apogon fraenatus,,Apogon fraenatus
Apogonidae,Apogon fuscus,cylindrical,53,0.98,4.00,15.00,0.04,2.70,9.40,Apogon,fuscus,Apogon fuscus,,Apogon fuscus
Apogonidae,Apogon hyalosoma,cylindrical,42,0.98,6.00,15.00,0.01,3.45,8.60,Apogon,hyalosoma,Apogon hyalosoma,,Apogon hyalosoma
Apogonidae,Apogon kallopterus,cylindrical,66,0.98,4.50,12.00,0.01,3.31,9.20,Apogon,kallopterus,Apogon kallopterus,,Apogon kallopterus
Apogonidae,Apogon lateralis,cylindrical,106,0.97,3.50,8.50,0.02,3.05,15.20,Apogon,lateralis,Apogon lateralis,,Apogon lateralis
Apogonidae,Apogon lineolatus,cylindrical,11,0.90,6.00,7.50,0.00,3.68,10.70,Apogon,lineolatus,Apogon lineolatus,,Apogon lineolatus
Apogonidae,Apogon nigrofasciatus,cylindrical,28,0.97,3.50,8.00,0.01,3.51,10.90,Apogon,nigrofasciatus,Apogon nigrofasciatus,,Apogon nigrofasciatus
Apogonidae,Apogon norfolcensis,cylindrical,74,0.94,5.80,12.00,0.01,3.28,10.00,Apogon,norfolcensis,Apogon norfolcensis,,Apogon norfolcensis
Apogonidae,Apogon novemfasciatus,cylindrical,17,0.97,3.00,9.50,0.01,3.41,11.60,Apogon,novemfasciatus,Apogon novemfasciatus,,Apogon novemfasciatus
Apogonidae,Apogon trimaculatus,cylindrical,55,0.98,2.00,16.00,0.02,2.97,12.70,Apogon,trimaculatus,Apogon trimaculatus,,Apogon trimaculatus
Apogonidae,Archamia spp.,cylindrical,105,0.92,5.20,8.50,0.01,3.40,10.30,Archamia,spp.,Archamia spp.,,Archamia spp.
Apogonidae,Archamia fucata,compressed,49,0.95,5.20,8.50,0.01,3.32,9.60,Archamia,fucata,Archamia fucata,,Archamia fucata
Apogonidae,Archamia leai,compressed,17,0.96,5.20,8.20,0.01,3.48,9.20,Archamia,leai,Archamia leai,,Archamia leai
Apogonidae,Archamia lineolata,compressed,16,0.92,6.00,8.00,0.05,2.59,7.10,Archamia,lineolata,Archamia lineolata,,Archamia lineolata
Apogonidae,Cheilodipterus spp.,cylindrical,282,0.98,3.00,18.50,0.01,3.09,8.10,Cheilodipterus,spp.,Cheilodipterus spp.,,Cheilodipterus spp.
Apogonidae,Cheilodipterus artus,cylindrical,21,0.98,4.70,14.40,0.00,3.59,14.60,Cheilodipterus,artus,Cheilodipterus artus,,Cheilodipterus artus
Apogonidae,Cheilodipterus lachneri,cylindrical,51,0.96,6.00,12.50,0.00,3.86,8.60,Cheilodipterus,lachneri,Cheilodipterus lachneri,,Cheilodipterus lachneri
Apogonidae,Cheilodipterus macrodon,cylindrical,16,1.00,8.00,18.50,0.01,3.43,6.60,Cheilodipterus,macrodon,Cheilodipterus macrodon,,Cheilodipterus macrodon
Apogonidae,Cheilodipterus quinquelineatus,cylindrical,194,0.97,3.00,11.00,0.02,3.00,11.60,Cheilodipterus,quinquelineatus,Cheilodipterus quinquelineatus,,Cheilodipterus quinquelineatus
Apogonidae,Fowleria spp.,cylindrical,70,0.94,3.00,8.20,0.01,3.57,17.30,Fowleria,spp.,Fowleria spp.,,Fowleria spp.
Apogonidae,Fowleria aurita,cylindrical,12,1.00,4.10,8.20,0.04,2.78,4.30,Fowleria,aurita,Fowleria aurita,,Fowleria aurita
Apogonidae,Fowleria marmorata,cylindrical,13,0.96,4.00,7.50,0.00,4.14,17.40,Fowleria,marmorata,Fowleria marmorata,,Fowleria marmorata
Apogonidae,Fowleria variegata,cylindrical,35,0.96,3.00,8.00,0.01,3.35,19.70,Fowleria,variegata,Fowleria variegata,,Fowleria variegata
Atherinidae,Atherinomorus lacunosus,cylindrical,49,0.97,6.50,13.00,0.01,3.30,9.70,Atherinomorus,lacunosus,Atherinomorus lacunosus,,Atherinomorus lacunosus
Aulostomidae,Aulostomus chinensis,elongated,11,0.99,31.80,68.00,0.00,3.51,9.80,Aulostomus,chinensis,Aulostomus chinensis,,Aulostomus chinensis
Balistidae,,heterogeneous,595,0.99,5.00,61.00,0.01,3.39,18.30,,, ,,
Balistidae,Abalistes stellaris,compressed,111,0.99,14.00,53.50,0.05,2.76,5.70,Abalistes,stellaris,Abalistes stellaris,,Abalistes stellaris
Balistidae,Balistoides spp.,compressed,12,0.99,27.40,61.00,0.02,3.08,6.60,Balistoides,spp.,Balistoides spp.,,Balistoides spp.
Balistidae,Balistoides viridescens,compressed,10,1.00,27.40,61.00,0.02,3.02,3.90,Balistoides,viridescens,Balistoides viridescens,,Balistoides viridescens
Balistidae,Pseudobalistes fuscus,compressed,76,0.99,16.30,58.00,0.07,2.76,6.20,Pseudobalistes,fuscus,Pseudobalistes fuscus,,Pseudobalistes fuscus
Balistidae,Sufflamen spp.,compressed,122,0.98,16.60,36.50,0.03,2.93,6.00,Sufflamen,spp.,Sufflamen spp.,,Sufflamen spp.
Balistidae,Sufflamen fraenatus,compressed,118,0.98,18.50,36.50,0.03,2.97,6.50,Sufflamen,fraenatus,Sufflamen fraenatus,,Sufflamen fraenatus
Belonidae,,semi-elongated,81,0.97,16.50,88.00,0.00,3.20,10.60,,, ,,
Belonidae,Strongylura spp.,semi-elongated,51,0.96,29.00,75.00,0.00,3.10,10.30,Strongylura,spp.,Strongylura spp.,,Strongylura spp.
Belonidae,Strongylura incisa,semi-elongated,11,0.95,36.50,72.50,0.00,3.00,11.80,Strongylura,incisa,Strongylura incisa,,Strongylura incisa
Belonidae,Strongylura urvilli,semi-elongated,23,0.99,29.00,73.50,0.00,3.36,8.40,Strongylura,urvilli,Strongylura urvilli,,Strongylura urvilli
Belonidae,Tylosurus crocodilus,semi-elongated,29,0.99,29.50,88.00,0.00,3.29,10.10,Tylosurus,crocodilus,Tylosurus crocodilus,,Tylosurus crocodilus
Blenniidae,,heterogeneous,246,0.86,3.50,16.60,0.00,3.90,29.90,,, ,,
Blenniidae,Atrosalarias fuscus,cylindrical,50,0.93,3.60,10.20,0.01,3.02,16.20,Atrosalarias,fuscus,Atrosalarias fuscus,,Atrosalarias fuscus
Blenniidae,Cirripectes spp.,cylindrical,41,0.98,5.50,10.00,0.01,3.15,7.80,Cirripectes,spp.,Cirripectes spp.,,Cirripectes spp.
Blenniidae,Cirripectes chelomatus,cylindrical,19,0.95,7.00,10.00,0.01,3.10,7.30,Cirripectes,chelomatus,Cirripectes chelomatus,,Cirripectes chelomatus
Blenniidae,Cirripectes stigmaticus,cylindrical,17,0.99,5.50,9.00,0.02,2.97,5.70,Cirripectes,stigmaticus,Cirripectes stigmaticus,,Cirripectes stigmaticus
Blenniidae,Ecsenius spp.,cylindrical,49,0.94,4.00,9.50,0.02,2.58,7.50,Ecsenius,spp.,Ecsenius spp.,,Ecsenius spp.
Blenniidae,Ecsenius bicolor,cylindrical,46,0.93,4.00,9.50,0.02,2.58,10.60,Ecsenius,bicolor,Ecsenius bicolor,,Ecsenius bicolor
Blenniidae,Meiacanthus spp.,semi-elongated,9,0.87,4.50,6.00,0.00,4.47,13.70,Meiacanthus,spp.,Meiacanthus spp.,,Meiacanthus spp.
Blenniidae,Petroscirtes spp.,semi-elongated,15,0.89,3.50,10.50,0.01,3.02,29.70,Petroscirtes,spp.,Petroscirtes spp.,,Petroscirtes spp.
Blenniidae,Plagiotremus spp.,elongated,33,0.85,5.00,9.50,0.00,3.58,22.80,Plagiotremus,spp.,Plagiotremus spp.,,Plagiotremus spp.
Blenniidae,Plagiotremus rhinorhynchos,elongated,20,0.91,6.00,9.50,0.00,3.79,13.90,Plagiotremus,rhinorhynchos,Plagiotremus rhinorhynchos,,Plagiotremus rhinorhynchos
Blenniidae,Plagiotremus tapeinosoma,elongated,10,0.92,5.50,9.00,0.01,2.91,15.90,Plagiotremus,tapeinosoma,Plagiotremus tapeinosoma,,Plagiotremus tapeinosoma
Blenniidae,Salarias fasciatus,cylindrical,25,0.92,4.00,11.00,0.01,2.98,13.60,Salarias,fasciatus,Salarias fasciatus,,Salarias fasciatus
Bothidae,,very-flat,260,0.96,5.50,20.50,0.01,3.21,13.40,,, ,,
Bothidae,Arnoglossus spp.,very-flat,32,0.89,6.00,11.50,0.00,4.81,27.20,Arnoglossus,spp.,Arnoglossus spp.,,Arnoglossus spp.
Bothidae,Asterorhombus intermedius,very-flat,59,0.91,7.00,12.50,0.00,4.08,15.70,Asterorhombus,intermedius,Asterorhombus intermedius,,Asterorhombus intermedius
Bothidae,Bothus pantherinus,very-flat,21,0.96,8.00,18.00,0.00,3.75,18.30,Bothus,pantherinus,Bothus pantherinus,,Bothus pantherinus
Bothidae,Engyprosopon grandisquama,very-flat,108,0.98,5.50,12.00,0.02,2.89,7.10,Engyprosopon,grandisquama,Engyprosopon grandisquama,,Engyprosopon grandisquama
Bothidae,Grammatobothus polyophthalmus,very-flat,39,0.97,11.00,20.50,0.01,2.90,6.80,Grammatobothus,polyophthalmus,Grammatobothus polyophthalmus,,Grammatobothus polyophthalmus
Bythitidae,Dinematichthys spp.,elongated,55,0.87,4.00,10.20,0.01,3.16,18.00,Dinematichthys,spp.,Dinematichthys spp.,,Dinematichthys spp.
Caesionidae,,cylindrical,377,0.99,6.00,24.30,0.01,3.28,5.30,,, ,,
Caesionidae,Caesio spp.,cylindrical,195,0.99,6.70,24.30,0.01,3.25,7.10,Caesio,spp.,Caesio spp.,,Caesio spp.
Caesionidae,Caesio caerulaurea,cylindrical,90,1.00,6.70,21.40,0.02,2.99,6.10,Caesio,caerulaurea,Caesio caerulaurea,,Caesio caerulaurea
Caesionidae,Caesio cuning,cylindrical,9,0.99,19.50,24.30,0.01,3.12,2.60,Caesio,cuning,Caesio cuning,,Caesio cuning
Caesionidae,Pterocaesio spp.,cylindrical,182,0.99,6.00,15.50,0.01,3.23,5.20,Pterocaesio,spp.,Pterocaesio spp.,,Pterocaesio spp.
