Identifier,Location,Year,Habitat,count,Family,Species,length,a,b,abundance.500m2,biomass.kgha,mass.g,FG.fine,FG.coarse,lat,lon,Management,Island,state
24700,Cousin Carbonate,2008,Carbonate,1,Acanthuridae,Acanthurus leucosternon,19,0.1317,2.392,3.25,9.80,151.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
24701,Cousin Carbonate,2008,Carbonate,1,Acanthuridae,Acanthurus leucosternon,16,0.1317,2.392,3.25,6.49,100.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
24833,Cousin Carbonate,2008,Carbonate,1,Acanthuridae,Acanthurus lineatus,19,0.0126,3.064,3.25,6.78,104.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
25609,Cousin Carbonate,2008,Carbonate,1,Acanthuridae,Ctenochaetus striatus,20,0.0254,3.027,3.25,14.31,220.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
25981,Cousin Carbonate,2008,Carbonate,1,Acanthuridae,Naso elegans,39,0.0497,2.839,3.25,106.18,1635.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
26255,Cousin Carbonate,2008,Carbonate,1,Chaetodontidae,Chaetodon auriga,13,0.0312,2.953,3.25,3.95,61.0,Mixed-diet Feeder,Mixed-diet Feeder,-4.332921,55.658746,Protected,Cousin,Shifted
26460,Cousin Carbonate,2008,Carbonate,1,Chaetodontidae,Chaetodon lunula,13,0.0312,2.953,3.25,3.95,61.0,Mixed-diet Feeder,Mixed-diet Feeder,-4.332921,55.658746,Protected,Cousin,Shifted
27171,Cousin Carbonate,2008,Carbonate,1,Labridae,Cheilinus trilobatus,21,0.021,2.972,3.25,11.60,179.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
27753,Cousin Carbonate,2008,Carbonate,1,Labridae,Halichoeres hortulanus,13,0.0222,3,3.25,3.17,49.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28029,Cousin Carbonate,2008,Carbonate,1,Labridae,Halichoeres marginatus,16,0.0215,3,3.25,5.72,88.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28030,Cousin Carbonate,2008,Carbonate,1,Labridae,Halichoeres marginatus,21,0.0215,3,3.25,12.93,199.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28266,Cousin Carbonate,2008,Carbonate,1,Labridae,Hemigymnus fasciatus,22,0.0289,3,3.25,19.99,308.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28533,Cousin Carbonate,2008,Carbonate,1,Labridae,Labroides dimidiatus,8,0.0076,3.105,3.25,0.31,5.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28739,Cousin Carbonate,2008,Carbonate,1,Labridae,Stethojulis albovittata,8,0.0128,3.077,3.25,0.50,8.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28898,Cousin Carbonate,2008,Carbonate,1,Labridae,Thalassoma hebraicum,12,0.0183,2.862,3.25,1.46,22.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28899,Cousin Carbonate,2008,Carbonate,1,Labridae,Thalassoma hebraicum,14,0.0183,2.862,3.25,2.27,35.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28900,Cousin Carbonate,2008,Carbonate,1,Labridae,Thalassoma hebraicum,12,0.0183,2.862,3.25,1.46,22.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28901,Cousin Carbonate,2008,Carbonate,1,Labridae,Thalassoma hebraicum,16,0.0183,2.862,3.25,3.32,51.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
29741,Cousin Carbonate,2008,Carbonate,1,Lutjanidae,Aprion virescens,33,0.0255,2.87,3.25,37.79,582.0,Piscivore,Piscivore,-4.332921,55.658746,Protected,Cousin,Shifted
29772,Cousin Carbonate,2008,Carbonate,1,Lutjanidae,Lutjanus bohar,29,0.017,3.035,3.25,30.30,466.0,Piscivore,Piscivore,-4.332921,55.658746,Protected,Cousin,Shifted
29773,Cousin Carbonate,2008,Carbonate,1,Lutjanidae,Lutjanus bohar,21,0.017,3.035,3.25,11.38,175.0,Piscivore,Piscivore,-4.332921,55.658746,Protected,Cousin,Shifted
29774,Cousin Carbonate,2008,Carbonate,1,Lutjanidae,Lutjanus bohar,14,0.017,3.035,3.25,3.32,51.0,Piscivore,Piscivore,-4.332921,55.658746,Protected,Cousin,Shifted
30605,Cousin Carbonate,2008,Carbonate,1,Mullidae,Parupeneus trifasciatus,22,0.0075,3.205,3.25,9.78,150.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.332921,55.658746,Protected,Cousin,Shifted
30726,Cousin Carbonate,2008,Carbonate,1,Mullidae,Parupeneus macronemus,15,0.0052,3.381,3.25,3.20,49.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
31801,Cousin Carbonate,2008,Carbonate,1,Pomacanthidae,Pomacanthus semicirculatus,16,0.0286,3,3.25,7.61,117.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
31802,Cousin Carbonate,2008,Carbonate,1,Pomacanthidae,Pomacanthus semicirculatus,17,0.0286,3,3.25,9.13,141.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
34103,Cousin Carbonate,2008,Carbonate,1,Scaridae,Calotomus carolinus,40,0.0122,3.167,3.25,93.92,1446.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
34331,Cousin Carbonate,2008,Carbonate,1,Scaridae,Chlorurus sordidus,32,0.0182,3.15,3.25,65.16,1003.0,Herbivore Excavator,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
35424,Cousin Carbonate,2008,Carbonate,1,Scaridae,Scarus niger,39,0.0142,3.14,3.25,91.39,1407.0,Herbivore Scraper,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
36208,Cousin Carbonate,2008,Carbonate,1,Scaridae,Scarus rubroviolaceus,42,0.0136,3.109,3.25,98.37,1514.0,Herbivore Scraper,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
36715,Cousin Carbonate,2008,Carbonate,1,Siganidae,Siganus argenteus,19,0.0131,3.088,3.25,7.56,116.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
36821,Cousin Carbonate,2008,Carbonate,1,Siganidae,Siganus puelloides,25,0.0131,3.088,3.25,17.65,272.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
