Treatment,Replicate,Thallus,Length (cm),Weight (g)
W,1,1,27,116
W,1,2,28,86.1
W,1,3,34,132.8
W,1,4,32,136.6
W,1,5,39,69.4
W,1,6,39,59.4
W,1,7,40,87.9
W,1,8,28,77.9
W,1,9,28,110
W,2,1,32,109.7
W,2,2,28,67
W,2,3,31,71.3
W,2,4,32,135.8
W,2,5,30,81.9
W,2,6,26,65
W,2,7,32,70
W,2,8,25,120
W,2,9,29,110
W,3,1,30,87
W,3,2,37,110
W,3,3,36,123
W,3,4,33,58
W,3,5,33,64
W,3,6,23,71
W,3,7,24,72
W,3,8,35,100
W,3,9,28,124
DM,1,1,36,116.9
DM,1,2,33,132
DM,1,3,32,80.6
DM,1,4,30,93.5
DM,1,5,26,82.6
DM,2,1,30,84
DM,2,2,33,82
DM,2,3,32,102
DM,2,4,34,96.4
DM,2,5,31,98
DM,3,1,31,88
DM,3,2,29,106
DM,3,3,29,92
DM,3,4,26,90
DM,3,5,23,69
DL,1,1,39,106.6
DL,1,2,36,113
DL,1,3,28,139.9
DL,2,1,28,139.4
DL,2,2,34,109.7
DL,2,3,23,75
DL,3,1,29,116.6
DL,3,2,32,101
DL,3,3,24,76
BH,1,1,32,47
BH,1,2,32,45
BH,1,3,29,55
BH,1,4,39,59
BH,1,5,29,44
BH,1,6,28,43
BH,1,7,28,46
BH,1,8,24,41
BH,1,9,29,34
BH,2,1,27,46
BH,2,2,29,49
BH,2,3,27,45
BH,2,4,20,46
BH,2,5,37,38
BH,2,6,26,49
BH,2,7,24,39
BH,2,8,32,37
BH,2,9,31,40
BH,3,1,22,30
BH,3,2,29,49
BH,3,3,28,50
BH,3,4,24,47
BH,3,5,31,36
BH,3,6,28,50
BH,3,7,24,34
BH,3,8,26,41
BH,3,9,31,40
W,4,1,36,89.6
W,4,2,40,82.1
W,4,3,30,116.2
W,4,4,34,100
W,4,5,28,68
W,4,6,40,70
W,4,7,34,62
W,4,8,28,61
W,4,9,30,55
W,5,1,32,107.2
W,5,2,30,70.9
W,5,3,24,91
W,5,4,52,76
W,5,5,25,67
W,5,6,33,69
W,5,7,35,75
W,5,8,24,63
W,5,9,32,55
BH,4,1,26,42
BH,4,2,26,45
BH,4,3,32,57
BH,4,4,21,43
BH,4,5,33,32
BH,4,6,32,49
BH,4,7,24,38
BH,4,8,27,46
BH,4,9,23,35
BH,5,1,28,47
BH,5,2,29,47
BH,5,3,27,42
BH,5,4,39,42
BH,5,5,28,38
BH,5,6,29,46
BH,5,7,24,38
BH,5,8,30,30
BH,5,9,32,41
DM,4,1,36,158.6
DM,4,2,31,101.4
DM,4,3,22,78
DM,4,4,26,80
DM,4,5,34,67
DM,5,1,27,100
DM,5,2,24,69.3
DM,5,3,24,57
DM,5,4,27,79
DM,5,5,23,69
DL,4,1,26,99
DL,4,2,28,100
DL,4,3,30,68
DL,5,1,33,112
DL,5,2,27,108
DL,5,3,26,87.4
BQ,1,1,31,31
BQ,1,2,28,21.6
BQ,1,3,29,16
BQ,1,4,29,14
BQ,1,5,25,15
BQ,1,6,27,15
BQ,1,7,24,9
BQ,1,8,25,22
BQ,1,9,23.5,16.9
BQ,2,1,32,26
BQ,2,2,29,23
BQ,2,3,28,21
BQ,2,4,33,14
BQ,2,5,26,17.2
BQ,2,6,29,22
BQ,2,7,25,23
BQ,2,8,26,18
BQ,2,9,23.5,13
BQ,3,1,33,29
BQ,3,2,29,21.4
BQ,3,3,19,29
BQ,3,4,27.5,14
BQ,3,5,26.5,14
BQ,3,6,23,24
BQ,3,7,31,21
BQ,3,8,25,16
BQ,3,9,22,17
BQ,4,1,30,15
BQ,4,2,31,17
BQ,4,3,29,18
BQ,4,4,25,23
BQ,4,5,26,15
BQ,4,6,23,7
BQ,4,7,23,12
BQ,4,8,23.5,24
BQ,4,9,36,17
BQ,5,1,31,29
BQ,5,2,29,19
BQ,5,3,34,26
BQ,5,4,24,15
BQ,5,5,27,14
BQ,5,6,27,8
BQ,5,7,24,18
BQ,5,8,33,21.4
BQ,5,9,24,17
