Date,Treatment,Replicate,Family,Species,Length,Behaviour note,ID note,Transparency,Patch note,Replacement,Other,count
25/11/2022,BH,2,Labridae,Halichoeres miniatus,6,,,,,,,1
25/11/2022,BH,2,Labridae,Halichoeres miniatus,5,,,,,,,1
25/11/2022,BH,2,Labridae,Halichoeres miniatus,3,,,,,,,1
25/11/2022,BH,2,Siganidae,Siganus doliatus,3,,,medium transparency,,,,1
25/11/2022,BH,2,Siganidae,Siganus doliatus,2,,,yellow,,,,1
25/11/2022,W,2,Siganidae,Siganus doliatus,3,,,,,,,1
25/11/2022,W,2,Siganidae,Siganus doliatus,3,,,,,,,1
25/11/2022,W,2,Siganidae,Siganus doliatus,2.5,,,,,,,1
25/11/2022,W,2,Siganidae,Siganus doliatus,3,,,,,,,1
25/11/2022,W,2,Labridae,Halichoeres miniatus,5,,,,,,,1
25/11/2022,W,2,Labridae,Stethojulis interrupta,5,,,,,,,1
25/11/2022,W,2,Labridae,Stethojulis interrupta,5,,,,,,,1
25/11/2022,W,2,Labridae,Stethojulis interrupta,4,,,,,,,1
25/11/2022,W,2,Lethrinidae,Lethrinus atkinsoni,7,,"strong mid lateral stripe, on faint reddish body or yellow face. Left but came back",,,,,1
25/11/2022,W,2,Lethrinidae,Lethrinus atkinsoni,4,,,,,,,1
25/11/2022,DM,3,Labridae,Halichoeres miniatus,4,,,,Some other algae in patch. Some siganids came by but did not stay (unrecorded),,,1
25/11/2022,DM,3,Labridae,Halichoeres miniatus,5,,,,,,,1
25/11/2022,DM,3,Siganidae,Siganus doliatus,2,Siganids gathered at 2 thalli close together,,,Siganids gathered at 2 thalli close together,,,1
25/11/2022,DM,3,Siganidae,Siganus doliatus,2,,,,,,,1
25/11/2022,DM,3,Siganidae,Siganus lineatus,2,,,,,,,1
25/11/2022,DM,3,Siganidae,Siganus lineatus,2,,,,,,,1
25/11/2022,DM,3,Siganidae,Siganus lineatus,2,,,,,,,1
25/11/2022,DM,3,Siganidae,Siganus lineatus,2,,,,,,,1
25/11/2022,DM,3,Pomacentridae,Pomacentrus tripunctatus,2,,,,,,,1
25/11/2022,DM,3,Pomacentridae,Pomacentrus tripunctatus,2,,,,,,,1
25/11/2022,DL,3,Labridae,Halichoeres miniatus,4,,,,This plot was very spread out,,,1
25/11/2022,DL,3,Labridae,Halichoeres miniatus,6,,,,,,,1
25/11/2022,DL,3,Lethrinidae,Lethrinus atkinsoni,7,,,,,,,1
