Date,Treatment,Replicate,Family,Species,Length,count,Shape,N,r,L.min,L.max,a,b,%error,Familiy,weight
2022-11-25,BH,2,Labridae,Halichoeres miniatus,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-25,BH,2,Labridae,Halichoeres miniatus,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-25,BH,2,Labridae,Halichoeres miniatus,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-25,BH,2,Siganidae,Siganus doliatus,3,1,compressed,669,0.98,2,22.5,0.01,3.27,6.1,Siganidae,0.36323400808492984
2022-11-25,BH,2,Siganidae,Siganus doliatus,2,1,compressed,669,0.98,2,22.5,0.01,3.27,6.1,Siganidae,0.09646462621526083
2022-11-25,W,2,Siganidae,Siganus doliatus,3,1,compressed,669,0.98,2,22.5,0.01,3.27,6.1,Siganidae,0.36323400808492984
2022-11-25,W,2,Siganidae,Siganus doliatus,3,1,compressed,669,0.98,2,22.5,0.01,3.27,6.1,Siganidae,0.36323400808492984
2022-11-25,W,2,Siganidae,Siganus doliatus,2.5,1,compressed,669,0.98,2,22.5,0.01,3.27,6.1,Siganidae,0.20010771292967736
2022-11-25,W,2,Siganidae,Siganus doliatus,3,1,compressed,669,0.98,2,22.5,0.01,3.27,6.1,Siganidae,0.36323400808492984
2022-11-25,W,2,Labridae,Halichoeres miniatus,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-25,W,2,Labridae,Stethojulis interrupta,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-25,W,2,Labridae,Stethojulis interrupta,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-25,W,2,Labridae,Stethojulis interrupta,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-25,W,2,Lethrinidae,Lethrinus atkinsoni,7,1,compressed,2038,0.99,4.2,45.5,0.02,3.06,6.3,Lethrinidae,7.709567196694524
2022-11-25,W,2,Lethrinidae,Lethrinus atkinsoni,4,1,compressed,2038,0.99,4.2,45.5,0.02,3.06,6.3,Lethrinidae,1.3910206240333545
2022-11-25,DM,3,Labridae,Halichoeres miniatus,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-25,DM,3,Labridae,Halichoeres miniatus,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-25,DM,3,Siganidae,Siganus doliatus,2,1,compressed,669,0.98,2,22.5,0.01,3.27,6.1,Siganidae,0.09646462621526083
2022-11-25,DM,3,Siganidae,Siganus doliatus,2,1,compressed,669,0.98,2,22.5,0.01,3.27,6.1,Siganidae,0.09646462621526083
2022-11-25,DM,3,Siganidae,Siganus lineatus,2,1,compressed,817,1,5.5,35,0.02,3,5.9,Siganidae,0.16
2022-11-25,DM,3,Siganidae,Siganus lineatus,2,1,compressed,817,1,5.5,35,0.02,3,5.9,Siganidae,0.16
2022-11-25,DM,3,Siganidae,Siganus lineatus,2,1,compressed,817,1,5.5,35,0.02,3,5.9,Siganidae,0.16
2022-11-25,DM,3,Siganidae,Siganus lineatus,2,1,compressed,817,1,5.5,35,0.02,3,5.9,Siganidae,0.16
2022-11-25,DM,3,Pomacentridae,Pomacentrus tripunctatus,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-25,DM,3,Pomacentridae,Pomacentrus tripunctatus,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-25,DL,3,Labridae,Halichoeres miniatus,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-25,DL,3,Labridae,Halichoeres miniatus,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-25,DL,3,Lethrinidae,Lethrinus atkinsoni,7,1,compressed,2038,0.99,4.2,45.5,0.02,3.06,6.3,Lethrinidae,7.709567196694524
2022-11-25,DL,3,Siganidae,Siganus doliatus,3,1,compressed,669,0.98,2,22.5,0.01,3.27,6.1,Siganidae,0.36323400808492984
2022-11-25,DL,5,Labridae,Halichoeres miniatus,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-25,BQ,5,Blenniidae,Petroscirtes sp.,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-25,BQ,5,Blenniidae,Petroscirtes sp.,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-25,BQ,5,Labridae,Halichoeres miniatus,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-25,BQ,5,Labridae,Halichoeres miniatus,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-25,DM,5,Labridae,Halichoeres miniatus,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
