Date,Treatment,Replicate,Family,Species,Length,count,plot.weight,plotID,Density,Day
2022-11-25,BH,2,Labridae,Halichoeres miniatus,6,1,389,BH2,9,1
2022-11-25,BH,2,Labridae,Halichoeres miniatus,5,1,389,BH2,9,1
2022-11-25,BH,2,Labridae,Halichoeres miniatus,3,1,389,BH2,9,1
2022-11-25,BH,2,Siganidae,Siganus doliatus,3,1,389,BH2,9,1
2022-11-25,BH,2,Siganidae,Siganus doliatus,2,1,389,BH2,9,1
2022-11-25,W,2,Siganidae,Siganus doliatus,3,1,830.7,W2,9,1
2022-11-25,W,2,Siganidae,Siganus doliatus,3,1,830.7,W2,9,1
2022-11-25,W,2,Siganidae,Siganus doliatus,2.5,1,830.7,W2,9,1
2022-11-25,W,2,Siganidae,Siganus doliatus,3,1,830.7,W2,9,1
2022-11-25,W,2,Labridae,Halichoeres miniatus,5,1,830.7,W2,9,1
2022-11-25,W,2,Labridae,Stethojulis interrupta,5,1,830.7,W2,9,1
2022-11-25,W,2,Labridae,Stethojulis interrupta,5,1,830.7,W2,9,1
2022-11-25,W,2,Labridae,Stethojulis interrupta,4,1,830.7,W2,9,1
2022-11-25,W,2,Lethrinidae,Lethrinus atkinsoni,7,1,830.7,W2,9,1
2022-11-25,W,2,Lethrinidae,Lethrinus atkinsoni,4,1,830.7,W2,9,1
2022-11-25,DM,3,Labridae,Halichoeres miniatus,4,1,445,DM3,5,1
2022-11-25,DM,3,Labridae,Halichoeres miniatus,5,1,445,DM3,5,1
2022-11-25,DM,3,Siganidae,Siganus doliatus,2,1,445,DM3,5,1
2022-11-25,DM,3,Siganidae,Siganus doliatus,2,1,445,DM3,5,1
2022-11-25,DM,3,Siganidae,Siganus lineatus,2,1,445,DM3,5,1
2022-11-25,DM,3,Siganidae,Siganus lineatus,2,1,445,DM3,5,1
2022-11-25,DM,3,Siganidae,Siganus lineatus,2,1,445,DM3,5,1
2022-11-25,DM,3,Siganidae,Siganus lineatus,2,1,445,DM3,5,1
2022-11-25,DM,3,Pomacentridae,Pomacentrus tripunctatus,2,1,445,DM3,5,1
2022-11-25,DM,3,Pomacentridae,Pomacentrus tripunctatus,2,1,445,DM3,5,1
2022-11-25,DL,3,Labridae,Halichoeres miniatus,4,1,293.6,DL3,3,1
2022-11-25,DL,3,Labridae,Halichoeres miniatus,6,1,293.6,DL3,3,1
2022-11-25,DL,3,Lethrinidae,Lethrinus atkinsoni,7,1,293.6,DL3,3,1
2022-11-25,DL,3,Siganidae,Siganus doliatus,3,1,293.6,DL3,3,1
2022-11-25,DL,5,Labridae,Halichoeres miniatus,5,1,307.4,DL5,3,1
2022-11-25,BQ,5,Blenniidae,Petroscirtes sp.,6,1,167.4,BQ5,9,1
2022-11-25,BQ,5,Blenniidae,Petroscirtes sp.,8,1,167.4,BQ5,9,1
2022-11-25,BQ,5,Labridae,Halichoeres miniatus,6,1,167.4,BQ5,9,1
2022-11-25,BQ,5,Labridae,Halichoeres miniatus,5,1,167.4,BQ5,9,1
2022-11-25,DM,5,Labridae,Halichoeres miniatus,4,1,374.3,DM5,5,1
2022-11-25,DM,5,Labridae,Halichoeres miniatus,6,1,374.3,DM5,5,1
2022-11-25,DM,5,Siganidae,Siganus doliatus,3,1,374.3,DM5,5,1
2022-11-25,DM,5,Siganidae,Siganus doliatus,3,1,374.3,DM5,5,1
2022-11-25,DM,5,Labridae,Stethojulis strigiventer,4,1,374.3,DM5,5,1
