Treatment,Replicate,Date,Species,abundance,plot.weight,plotID,Density,Day,Family
BH,1,2022-11-25,Halichoeres miniatus,4,414,BH1,9,1,Labridae
BH,1,2022-11-25,Lethrinus atkinsoni,0,414,BH1,9,1,Lethrinidae
BH,1,2022-11-25,Petroscirtes sp.,0,414,BH1,9,1,Blenniidae
BH,1,2022-11-25,Pomacentrus tripunctatus,0,414,BH1,9,1,Pomacentridae
BH,1,2022-11-25,Siganus doliatus,0,414,BH1,9,1,Siganidae
BH,1,2022-11-25,Siganus fuscescens,0,414,BH1,9,1,Siganidae
BH,1,2022-11-26,Halichoeres miniatus,5,414,BH1,9,2,Labridae
BH,1,2022-11-26,Lethrinus atkinsoni,0,414,BH1,9,2,Lethrinidae
BH,1,2022-11-26,Petroscirtes sp.,0,414,BH1,9,2,Blenniidae
BH,1,2022-11-26,Pomacentrus tripunctatus,0,414,BH1,9,2,Pomacentridae
BH,1,2022-11-26,Siganus doliatus,0,414,BH1,9,2,Siganidae
BH,1,2022-11-26,Siganus fuscescens,0,414,BH1,9,2,Siganidae
BH,1,2022-11-27,Halichoeres miniatus,0,414,BH1,9,3,Labridae
BH,1,2022-11-27,Lethrinus atkinsoni,0,414,BH1,9,3,Lethrinidae
BH,1,2022-11-27,Petroscirtes sp.,0,414,BH1,9,3,Blenniidae
BH,1,2022-11-27,Pomacentrus tripunctatus,0,414,BH1,9,3,Pomacentridae
BH,1,2022-11-27,Siganus doliatus,0,414,BH1,9,3,Siganidae
BH,1,2022-11-27,Siganus fuscescens,0,414,BH1,9,3,Siganidae
BH,1,2022-11-28,Halichoeres miniatus,8,414,BH1,9,4,Labridae
BH,1,2022-11-28,Lethrinus atkinsoni,0,414,BH1,9,4,Lethrinidae
BH,1,2022-11-28,Petroscirtes sp.,0,414,BH1,9,4,Blenniidae
BH,1,2022-11-28,Pomacentrus tripunctatus,1,414,BH1,9,4,Pomacentridae
BH,1,2022-11-28,Siganus doliatus,0,414,BH1,9,4,Siganidae
BH,1,2022-11-28,Siganus fuscescens,0,414,BH1,9,4,Siganidae
BH,1,2022-11-29,Halichoeres miniatus,3,414,BH1,9,5,Labridae
BH,1,2022-11-29,Lethrinus atkinsoni,0,414,BH1,9,5,Lethrinidae
BH,1,2022-11-29,Petroscirtes sp.,1,414,BH1,9,5,Blenniidae
BH,1,2022-11-29,Pomacentrus tripunctatus,0,414,BH1,9,5,Pomacentridae
BH,1,2022-11-29,Siganus doliatus,1,414,BH1,9,5,Siganidae
BH,1,2022-11-29,Siganus fuscescens,0,414,BH1,9,5,Siganidae
BH,1,2022-11-30,Halichoeres miniatus,2,414,BH1,9,6,Labridae
BH,1,2022-11-30,Lethrinus atkinsoni,0,414,BH1,9,6,Lethrinidae
BH,1,2022-11-30,Petroscirtes sp.,1,414,BH1,9,6,Blenniidae
BH,1,2022-11-30,Pomacentrus tripunctatus,0,414,BH1,9,6,Pomacentridae
BH,1,2022-11-30,Siganus doliatus,0,414,BH1,9,6,Siganidae
BH,1,2022-11-30,Siganus fuscescens,0,414,BH1,9,6,Siganidae
BH,1,2022-12-01,Halichoeres miniatus,4,414,BH1,9,7,Labridae
BH,1,2022-12-01,Lethrinus atkinsoni,0,414,BH1,9,7,Lethrinidae
BH,1,2022-12-01,Petroscirtes sp.,3,414,BH1,9,7,Blenniidae
BH,1,2022-12-01,Pomacentrus tripunctatus,0,414,BH1,9,7,Pomacentridae
BH,1,2022-12-01,Siganus doliatus,0,414,BH1,9,7,Siganidae
BH,1,2022-12-01,Siganus fuscescens,0,414,BH1,9,7,Siganidae
BH,1,2022-12-02,Halichoeres miniatus,5,414,BH1,9,8,Labridae
BH,1,2022-12-02,Lethrinus atkinsoni,0,414,BH1,9,8,Lethrinidae
BH,1,2022-12-02,Petroscirtes sp.,0,414,BH1,9,8,Blenniidae
BH,1,2022-12-02,Pomacentrus tripunctatus,0,414,BH1,9,8,Pomacentridae
BH,1,2022-12-02,Siganus doliatus,0,414,BH1,9,8,Siganidae
BH,1,2022-12-02,Siganus fuscescens,0,414,BH1,9,8,Siganidae
BH,1,2022-12-03,Halichoeres miniatus,9,414,BH1,9,9,Labridae
BH,1,2022-12-03,Lethrinus atkinsoni,0,414,BH1,9,9,Lethrinidae
BH,1,2022-12-03,Petroscirtes sp.,0,414,BH1,9,9,Blenniidae
BH,1,2022-12-03,Pomacentrus tripunctatus,0,414,BH1,9,9,Pomacentridae
BH,1,2022-12-03,Siganus doliatus,0,414,BH1,9,9,Siganidae
BH,1,2022-12-03,Siganus fuscescens,0,414,BH1,9,9,Siganidae
BH,1,2022-12-04,Halichoeres miniatus,7,414,BH1,9,10,Labridae
BH,1,2022-12-04,Lethrinus atkinsoni,0,414,BH1,9,10,Lethrinidae
BH,1,2022-12-04,Petroscirtes sp.,1,414,BH1,9,10,Blenniidae
BH,1,2022-12-04,Pomacentrus tripunctatus,0,414,BH1,9,10,Pomacentridae
BH,1,2022-12-04,Siganus doliatus,0,414,BH1,9,10,Siganidae
BH,1,2022-12-04,Siganus fuscescens,0,414,BH1,9,10,Siganidae
BH,1,2022-12-05,Halichoeres miniatus,4,414,BH1,9,11,Labridae
BH,1,2022-12-05,Lethrinus atkinsoni,1,414,BH1,9,11,Lethrinidae
BH,1,2022-12-05,Petroscirtes sp.,0,414,BH1,9,11,Blenniidae
BH,1,2022-12-05,Pomacentrus tripunctatus,0,414,BH1,9,11,Pomacentridae
BH,1,2022-12-05,Siganus doliatus,0,414,BH1,9,11,Siganidae
BH,1,2022-12-05,Siganus fuscescens,0,414,BH1,9,11,Siganidae
BH,1,2022-12-06,Halichoeres miniatus,5,414,BH1,9,12,Labridae
BH,1,2022-12-06,Lethrinus atkinsoni,0,414,BH1,9,12,Lethrinidae
BH,1,2022-12-06,Petroscirtes sp.,0,414,BH1,9,12,Blenniidae
BH,1,2022-12-06,Pomacentrus tripunctatus,0,414,BH1,9,12,Pomacentridae
BH,1,2022-12-06,Siganus doliatus,0,414,BH1,9,12,Siganidae
BH,1,2022-12-06,Siganus fuscescens,0,414,BH1,9,12,Siganidae
BH,1,2022-12-07,Halichoeres miniatus,5,414,BH1,9,13,Labridae
BH,1,2022-12-07,Lethrinus atkinsoni,0,414,BH1,9,13,Lethrinidae
BH,1,2022-12-07,Petroscirtes sp.,0,414,BH1,9,13,Blenniidae
BH,1,2022-12-07,Pomacentrus tripunctatus,0,414,BH1,9,13,Pomacentridae
BH,1,2022-12-07,Siganus doliatus,0,414,BH1,9,13,Siganidae
BH,1,2022-12-07,Siganus fuscescens,0,414,BH1,9,13,Siganidae
BH,1,2022-12-08,Halichoeres miniatus,4,414,BH1,9,14,Labridae
BH,1,2022-12-08,Lethrinus atkinsoni,0,414,BH1,9,14,Lethrinidae
BH,1,2022-12-08,Petroscirtes sp.,0,414,BH1,9,14,Blenniidae
