"","contrast","P>","P<","evidence","Model","exc.evidence"
"1","BH - BQ",0.999583333333333,0.000416666666666667,"very strong","abnd",NA
"2","BH - DL",0.995,0.005,"very strong","abnd",NA
"3","BH - DM",0.0579166666666667,0.942083333333333,"evidence","abnd",NA
"4","BH - W",0,1,"very strong","abnd",NA
"5","BQ - DL",0.29,0.71,"no evidence","abnd",NA
"6","BQ - DM",0,1,"very strong","abnd",NA
"7","BQ - W",0,1,"very strong","abnd",NA
"8","DL - DM",0,1,"very strong","abnd",NA
"9","DL - W",0,1,"very strong","abnd",NA
"10","DM - W",0.0116666666666667,0.988333333333333,"strong","abnd",NA
"11","BH - BQ",1,0,"very strong","hm",NA
"12","BH - DL",0.991666666666667,0.00833333333333333,"very strong","hm",NA
"13","BH - DM",0.796666666666667,0.203333333333333,"no evidence","hm",NA
"14","BH - W",0.49,0.51,"no evidence","hm",NA
"15","BQ - DL",0.05625,0.94375,"evidence","hm",NA
"16","BQ - DM",0.00208333333333333,0.997916666666667,"very strong","hm",NA
"17","BQ - W",0,1,"very strong","hm",NA
"18","DL - DM",0.0445833333333333,0.955416666666667,"strong","hm",NA
"19","DL - W",0.00958333333333333,0.990416666666667,"very strong","hm",NA
"20","DM - W",0.20125,0.79875,"no evidence","hm",NA
"21","BH - BQ",0.839166666666667,0.160833333333333,"no evidence","la",NA
"22","BH - DL",0.562083333333333,0.437916666666667,"no evidence","la",NA
"23","BH - DM",0.205,0.795,"no evidence","la",NA
"24","BQ - DL",0.185833333333333,0.814166666666667,"no evidence","la",NA
"25","BQ - DM",0.04,0.96,"strong","la",NA
"26","DL - DM",0.166666666666667,0.833333333333333,"no evidence","la",NA
"27","W - BH",0.905833333333333,0.0941666666666667,"evidence","la",NA
"28","W - BQ",0.987083333333333,0.0129166666666667,"strong","la",NA
"29","W - DL",0.936666666666667,0.0633333333333333,"evidence","la",NA
"30","W - DM",0.685833333333333,0.314166666666667,"no evidence","la",NA
"31","BH - BQ",0.753333333333333,0.246666666666667,"no evidence","ps",NA
"32","BH - DL",1,0,"very strong","ps",NA
"33","BH - DM",0.23875,0.76125,"no evidence","ps",NA
"34","BQ - DL",0.99875,0.00125,"very strong","ps",NA
"35","BQ - DM",0.0791666666666667,0.920833333333333,"evidence","ps",NA
"36","DL - DM",0,1,"very strong","ps",NA
"37","W - BH",0.9975,0.0025,"very strong","ps",NA
"38","W - BQ",0.999166666666667,0.000833333333333333,"very strong","ps",NA
"39","W - DL",1,0,"very strong","ps",NA
"40","W - DM",0.995,0.005,"very strong","ps",NA
"41","BH - BQ",0.632916666666667,0.367083333333333,"no evidence","pt",NA
"42","BH - DL",0.659583333333333,0.340416666666667,"no evidence","pt",NA
"43","BH - DM",0.0316666666666667,0.968333333333333,"strong","pt",NA
"44","BQ - DL",0.53875,0.46125,"no evidence","pt",NA
"45","BQ - DM",0.0179166666666667,0.982083333333333,"strong","pt",NA
"46","DL - DM",0.0116666666666667,0.988333333333333,"strong","pt",NA
"47","W - BH",0.952083333333333,0.0479166666666667,"strong","pt",NA
"48","W - BQ",0.977916666666667,0.0220833333333333,"strong","pt",NA
"49","W - DL",0.980833333333333,0.0191666666666667,"strong","pt",NA
"50","W - DM",0.401666666666667,0.598333333333333,"no evidence","pt",NA
"51","BH - BQ",0.762083333333333,0.237916666666667,"no evidence","sd",NA
"52","BH - DL",0.600416666666667,0.399583333333333,"no evidence","sd",NA
"53","BH - DM",0.0508333333333333,0.949166666666667,"evidence","sd",NA
"54","BQ - DL",0.313333333333333,0.686666666666667,"no evidence","sd",NA
"55","BQ - DM",0.02,0.98,"strong","sd",NA
"56","DL - DM",0.03375,0.96625,"strong","sd",NA
"57","W - BH",0.9925,0.0075,"very strong","sd",NA
"58","W - BQ",0.997916666666667,0.00208333333333333,"very strong","sd",NA
"59","W - DL",0.99625,0.00375,"very strong","sd",NA
"60","W - DM",0.842083333333333,0.157916666666667,"no evidence","sd",NA
"61","BH - BQ",0.64625,0.35375,"no evidence","sf",NA
"62","BH - DL",0.400416666666667,0.599583333333333,"no evidence","sf",NA
"63","BH - DM",0.01875,0.98125,"strong","sf",NA
"64","BQ - DL",0.2725,0.7275,"no evidence","sf",NA
"65","BQ - DM",0.00833333333333333,0.991666666666667,"very strong","sf",NA
"66","DL - DM",0.0329166666666667,0.967083333333333,"strong","sf",NA
"67","W - BH",0.965,0.035,"strong","sf",NA
"68","W - BQ",0.98375,0.01625,"strong","sf",NA
